index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,in_trade,no_trade_capital
1461,2024-04-11,0.26146399974823,0.2803040146827698,0.26087498664855957,0.27943500876426697,5230440,0,0.27943500876426697,0.28222935885190964,False,,,,False,1000.0,False,1000.0
1462,2024-04-12,0.22642099857330322,0.27110999822616577,0.22248399257659912,0.2612619996070862,8254882,0,0.2612619996070862,0.26387461960315706,False,,,,False,1000.0,False,934.9651669003591
1463,2024-04-13,0.2056650072336197,0.23478299379348755,0.19677600264549255,0.22638100385665894,9060148,0,0.22638100385665894,0.22864481389522553,False,,,,False,1000.0,False,810.1383032060786
1464,2024-04-14,0.22260400652885437,0.2240079939365387,0.1928340047597885,0.20584000647068024,5201697,0,0.20584000647068024,0.20789840653538705,False,,,,False,1000.0,False,736.6292698289931
1465,2024-04-15,0.2026830017566681,0.22546300292015076,0.20097999274730682,0.2225389927625656,5992683,1,0.20584000647068024,0.20789840653538705,True,0.2225389927625656,,,False,1000.0,False,796.3890914981982
1466,2024-04-16,0.20377300679683685,0.2094929963350296,0.19535699486732483,0.2027990072965622,6088005,1,,,False,,0.2225389927625656,0.22142629779875278,False,911.2965093399848,True,725.7465991587499
1467,2024-04-17,0.19989100098609924,0.20540599524974823,0.1933480054140091,0.2037850022315979,4356517,1,,,False,,0.2225389927625656,0.22142629779875278,False,915.7271707840567,True,729.2751296009304
1468,2024-04-18,0.21097199618816376,0.21159300208091736,0.196492999792099,0.19987399876117706,3958623,1,,,False,,0.2225389927625656,0.22142629779875278,False,898.1527069929242,True,715.2790183487423
1469,2024-04-19,0.21090200543403625,0.217398002743721,0.19800500571727753,0.21085700392723083,5580251,1,,,False,,0.2225389927625656,0.22142629779875278,False,947.5058789009677,True,754.5833460871435
1470,2024-04-20,0.22950899600982666,0.22976799309253693,0.2090570032596588,0.21094900369644165,3297762,1,,,False,,0.2225389927625656,0.22142629779875278,False,947.919288560411,True,754.9125810302442
1471,2024-04-21,0.22026599943637848,0.23135599493980408,0.21541699767112732,0.22947199642658234,3518278,1,,,False,,0.22947199642658234,0.22832463644444942,False,1031.154107322728,True,821.1998827253828
1472,2024-04-22,0.22070200741291046,0.22940799593925476,0.21979700028896332,0.22025400400161743,4705687,1,,,False,,0.22947199642658234,0.22832463644444942,True,989.7321870087454,True,788.2119172384196
1473,2024-04-23,0.23075999319553375,0.2382570058107376,0.22046500444412231,0.22070200741291046,5437339,1,0.22070200741291046,0.22290902748703956,False,,,,False,989.7321870087454,False,789.815164495355
1474,2024-04-24,0.20897400379180908,0.23086200654506683,0.20769700407981873,0.23075799643993378,6224550,2,0.22070200741291046,0.22290902748703956,True,0.23075799643993378,,,False,989.7321870087454,False,825.8020262400356
1475,2024-04-25,0.20827700197696686,0.21073800325393677,0.20168699324131012,0.20900799334049225,4210953,2,,,False,,0.23075799643993378,0.2296042064577341,False,896.4453736927846,True,747.9663849736618
1476,2024-04-26,0.1982160061597824,0.20841899514198303,0.1981939971446991,0.20823700726032257,3980292,2,,,False,,0.23075799643993378,0.2296042064577341,False,893.1385771741285,True,745.2072958975322
1477,2024-04-27,0.20446699857711792,0.20505400002002716,0.19301000237464905,0.19813700020313263,3484611,2,,,False,,0.23075799643993378,0.2296042064577341,False,849.8191593089348,True,709.062909044021
1478,2024-04-28,0.20059899985790253,0.20818400382995605,0.19935199618339539,0.20450200140476227,3159275,2,,,False,,0.23075799643993378,0.2296042064577341,False,877.1189567451723,True,731.8410184504884
1479,2024-04-29,0.19731299579143524,0.20112399756908417,0.19194400310516357,0.20054300129413605,3659453,2,,,False,,0.23075799643993378,0.2296042064577341,False,860.1386141424928,True,717.6731440379946
1480,2024-04-30,0.1864430010318756,0.19959700107574463,0.1818850040435791,0.1972779929637909,6757768,2,,,False,,0.23075799643993378,0.2296042064577341,False,846.134835789202,True,705.9888230762659
1481,2024-05-01,0.18801100552082062,0.19061200320720673,0.1801380068063736,0.18629500269889832,7236257,2,,,False,,0.23075799643993378,0.2296042064577341,False,799.0282603184907,True,666.6845486639002
1482,2024-05-02,0.19319699704647064,0.19557100534439087,0.18228499591350555,0.1880660057067871,3891217,2,,,False,,0.23075799643993378,0.2296042064577341,False,806.6241777178391,True,673.0223479816043
1483,2024-05-03,0.20536600053310394,0.20666000247001648,0.19230499863624573,0.19314399361610413,3837290,2,,,False,,0.23075799643993378,0.2296042064577341,False,828.4039130103515,True,691.1946877030056
1484,2024-05-04,0.20435699820518494,0.20607900619506836,0.20055100321769714,0.20533999800682068,3755165,2,,,False,,0.23075799643993378,0.2296042064577341,False,880.7131646272686,True,734.8399147082058
1485,2024-05-05,0.2175309956073761,0.22232399880886078,0.20119599997997284,0.20435799658298492,6266121,2,,,False,,0.23075799643993378,0.2296042064577341,False,876.5013131124647,True,731.325675643536
1486,2024-05-06,0.20760199427604675,0.21907900273799896,0.20560699701309204,0.21754899621009827,6047822,2,,,False,,0.23075799643993378,0.2296042064577341,False,933.0781473335608,True,778.5316420163513
1487,2024-05-07,0.20053799450397491,0.20952199399471283,0.20025399327278137,0.20760099589824677,5650085,2,,,False,,0.23075799643993378,0.2296042064577341,False,890.4106937375362,True,742.9312340508494
1488,2024-05-08,0.2016039937734604,0.2045000046491623,0.19828300178050995,0.2005549967288971,8370394,2,,,False,,0.23075799643993378,0.2296042064577341,False,860.1900631412852,True,717.7160714965621
1489,2024-05-09,0.20750099420547485,0.2082190066576004,0.1967419981956482,0.20160500705242157,3522692,2,,,False,,0.23075799643993378,0.2296042064577341,False,864.6936081101121,True,721.4736905871976
1490,2024-05-10,0.195250004529953,0.20980699360370636,0.1933780014514923,0.2074110060930252,6031244,2,,,False,,0.23075799643993378,0.2296042064577341,False,889.5958182908246,True,742.2513270983821
1491,2024-05-11,0.1924699991941452,0.1980459988117218,0.1923460066318512,0.19517500698566437,2360030,2,,,False,,0.23075799643993378,0.2296042064577341,False,837.1150274033996,True,698.4629730139332
1492,2024-05-12,0.19190099835395813,0.1954749971628189,0.1916559934616089,0.1925169974565506,1899649,2,,,False,,0.23075799643993378,0.2296042064577341,False,825.7146962126033,True,688.9508881077928
1493,2024-05-13,0.19220100343227386,0.19543500244617462,0.18341800570487976,0.1919260025024414,6461051,2,,,False,,0.23075799643993378,0.2296042064577341,False,823.1798903230319,True,686.8359242143182
1494,2024-05-14,0.18786700069904327,0.19415399432182312,0.18388499319553375,0.1924780011177063,5121202,2,,,False,,0.23075799643993378,0.2296042064577341,False,825.5474390326782,True,688.8113338729218
1495,2024-05-15,0.19772200286388397,0.19857899844646454,0.18707700073719025,0.18779300153255463,4849970,2,,,False,,0.23075799643993378,0.2296042064577341,False,805.453249634764,True,672.0453616854355
1496,2024-05-16,0.19166199862957,0.1983489990234375,0.1907310038805008,0.19778400659561157,3623713,2,,,False,,0.23075799643993378,0.2296042064577341,False,848.3051526848443,True,707.7996685893547
1497,2024-05-17,0.19742600619792938,0.19878800213336945,0.190528005361557,0.19166199862957,2371204,2,,,False,,0.23075799643993378,0.2296042064577341,False,822.0475649670012,True,685.891146843584
1498,2024-05-18,0.1974630057811737,0.20257799327373505,0.19707100093364716,0.19747500121593475,1924269,2,,,False,,0.23075799643993378,0.2296042064577341,False,846.9798136935924,True,706.6938465914478
1499,2024-05-19,0.18915900588035583,0.19843900203704834,0.18908600509166718,0.1974630057811737,3138622,2,,,False,,0.23075799643993378,0.2296042064577341,False,846.9283646948,True,706.6509191328803
