index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,in_trade,no_trade_capital
1461,2024-04-11,0.10514199733734131,0.10684099793434143,0.10438500344753265,0.10596899688243866,0,0,0.10596899688243866,0.11338682666420938,False,,,,False,1000.0,False,1000.0
1462,2024-04-12,0.10082899779081345,0.10683000087738037,0.09852100163698196,0.10514199733734131,0,0,0.10514199733734131,0.1125019371509552,False,,,,False,1000.0,False,992.1958349193885
1463,2024-04-13,0.09612999856472015,0.10183200240135193,0.09205599874258041,0.10082899779081345,0,0,0.10082899779081345,0.10788702763617039,False,,,,False,1000.0,False,951.4952557555348
1464,2024-04-14,0.09854000061750412,0.09871599823236465,0.09341300278902054,0.09612999856472015,1,0,0.09612999856472015,0.10285909846425056,False,,,,False,1000.0,False,907.1521047931234
1465,2024-04-15,0.09512899816036224,0.10027199983596802,0.09365899860858917,0.09854000061750412,0,0,0.09612999856472015,0.10285909846425056,False,,,,False,1000.0,False,929.8946249988926
1466,2024-04-16,0.09559199959039688,0.0964369997382164,0.09260399639606476,0.09512899816036224,0,0,0.09512899816036224,0.10178802803158761,False,,,,False,1000.0,False,897.7059419171228
1467,2024-04-17,0.0918779969215393,0.09663499891757965,0.08988799899816513,0.09559199959039688,0,0,0.09512899816036224,0.10178802803158761,False,,,,False,1000.0,False,902.0751578543868
1468,2024-04-18,0.07111600041389465,0.09324300289154053,0.06823699921369553,0.0918779969215393,1,0,0.0918779969215393,0.09830945670604706,False,,,,False,1000.0,False,867.0271459063464
1469,2024-04-19,0.0715240016579628,0.07329999655485153,0.06687899678945541,0.07111600041389465,0,0,0.07111600041389465,0.07609412044286729,False,,,,False,1000.0,False,671.1019496843053
1470,2024-04-20,0.07277599722146988,0.07322999835014343,0.07080300152301788,0.0715240016579628,0,0,0.07111600041389465,0.07609412044286729,False,,,,False,1000.0,False,674.9521441380735
1471,2024-04-21,0.0727429986000061,0.07358100265264511,0.07202400267124176,0.07277599722146988,0,0,0.07111600041389465,0.07609412044286729,False,,,,False,1000.0,False,686.7668786391091
1472,2024-04-22,0.07551799714565277,0.0759740024805069,0.0723159983754158,0.0727429986000061,14,0,0.07111600041389465,0.07609412044286729,False,,,,False,1000.0,False,686.4554798108236
1473,2024-04-23,0.07503300160169601,0.07590200006961823,0.0744670033454895,0.07551799714565277,0,0,0.07111600041389465,0.07609412044286729,False,,,,False,1000.0,False,712.642370574027
