index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,in_trade,no_trade_capital
1369,2024-05-04,46.42728042602539,47.17626953125,45.153411865234375,45.51762771606445,3033339,0,45.51762771606445,49.614214210510255,False,,,,False,1000.0,False,1000.0
1370,2024-05-05,46.351158142089844,46.90573501586914,45.44231033325195,46.42728042602539,2635667,0,45.51762771606445,49.614214210510255,False,,,,False,1000.0,False,1019.9846247619776
1371,2024-05-06,46.196876525878906,48.12863540649414,45.676448822021484,46.351158142089844,3097614,0,45.51762771606445,49.614214210510255,False,,,,False,1000.0,False,1018.3122554458438
1372,2024-05-07,45.52895736694336,47.5239143371582,45.42881774902344,46.196876525878906,2904529,0,45.51762771606445,49.614214210510255,False,,,,False,1000.0,False,1014.922763858687
1373,2024-05-08,44.783023834228516,45.88810729980469,44.35663986206055,45.52895736694336,2711893,0,45.51762771606445,49.614214210510255,False,,,,False,1000.0,False,1000.2489068839348
1374,2024-05-09,45.16757583618164,45.726593017578125,43.182064056396484,44.783023834228516,2294061,0,44.783023834228516,48.81349597930909,False,,,,False,1000.0,False,983.8611123053613
1375,2024-05-10,44.435768127441406,47.32559585571289,44.12382125854492,45.16767501831055,2862643,0,44.783023834228516,48.81349597930909,False,,,,False,1000.0,False,992.3117105325241
1376,2024-05-11,44.7297248840332,46.48579406738281,44.23799514770508,44.435768127441406,1648138,0,44.435768127441406,48.434987258911136,False,,,,False,1000.0,False,976.2320744092464
1377,2024-05-12,44.858184814453125,45.821041107177734,44.38467788696289,44.72969055175781,1493801,0,44.435768127441406,48.434987258911136,False,,,,False,1000.0,False,982.6894061961723
1378,2024-05-13,43.21284103393555,45.326866149902344,43.130523681640625,44.858184814453125,2223243,0,44.435768127441406,48.434987258911136,False,,,,False,1000.0,False,985.5123622495249
1379,2024-05-14,43.13236999511719,46.27370834350586,42.00608444213867,43.21284103393555,3164445,0,43.21284103393555,47.101996726989746,False,,,,False,1000.0,False,949.3649647888947
1380,2024-05-15,46.06517028808594,46.613216400146484,43.01341247558594,43.13236999511719,3743329,0,43.13236999511719,47.01428329467774,False,,,,False,1000.0,False,947.5970554567052
1381,2024-05-16,46.06654739379883,47.517120361328125,44.98843002319336,46.070533752441406,3082860,0,43.13236999511719,47.01428329467774,False,,,,False,1000.0,False,1012.1470749711725
1382,2024-05-17,68.76008605957031,71.902099609375,45.67045593261719,46.06654739379883,41769757,0,43.13236999511719,47.01428329467774,False,,,,False,1000.0,False,1012.0594966231214
1383,2024-05-18,59.695892333984375,69.06036376953125,56.42097854614258,68.76008605957031,15672482,1,43.13236999511719,47.01428329467774,True,68.76008605957031,,,False,1000.0,False,1510.6254326014214
1384,2024-05-19,90.7225112915039,96.92423248291016,56.372413635253906,59.695926666259766,77277798,1,,,False,,68.76008605957031,68.41628562927247,False,868.1770208161489,True,1311.4902876450083
1385,2024-05-20,78.35574340820312,90.72341918945312,67.25361633300781,90.7225112915039,47778154,1,,,False,,90.7225112915039,90.26889873504639,False,1319.4065989519913,True,1993.1291643190223
1386,2024-05-21,74.96062469482422,84.6436996459961,73.1488265991211,78.35547637939453,15101862,1,,,False,,90.7225112915039,90.26889873504639,True,1139.548841045825,True,1721.4314609752976
1387,2024-05-22,71.58653259277344,78.50689697265625,71.28148651123047,74.96062469482422,7872456,1,74.96062469482422,81.70708091735841,False,,,,False,1139.548841045825,False,1646.848231248407
1388,2024-05-23,66.24607849121094,74.44596099853516,65.0726547241211,71.58653259277344,5459606,1,71.58653259277344,78.02932052612306,False,,,,False,1139.548841045825,False,1572.7210793876354
