crypto_pair,sell_drop_percent,trigger_percent,initial_capital,final_capital,buy_hold_return,trade_count,max_drawdown,sharpe_ratio,in_tade
LTO-USD,0.005,0.07,1000,167.34476488972408,113.47063726470114,5,-0.8609263743957238,-0.07210395285260729,True
DATA-USD,0.02,0.09,1000,257.8878635957183,194.01343493922425,3,-0.8105591280723269,-0.04732975631376132,True
OGN-USD,0.01,0.09,1000,523.8925348498948,233.83692598761894,6,-0.6718259457658976,-0.015404414010630014,True
XMR-USD,0.02,0.01,1000,1136.8398169903717,1504.149692901014,14,-0.27919732063346164,0.026832925960742236,True
SAND-USD,0.015,0.01,1000,657.8420683219996,570.2672295940632,6,-0.7672791303623714,0.010840382922509323,True
XNO-USD,0.025,0.01,1000,682.3360226666238,587.7003522863786,10,-0.6743938888201463,0.0053068266847766474,True
BURGER-USD,0.015,0.07,1000,35.176013664619845,29.13909413783924,13,-0.9880180085233486,-0.06394854314779405,True
EOS-USD,0.02,0.01,1000,670.3677804768464,583.7924730242418,2,-0.6341039499300821,0.0023895399089933697,True
OMNI-USD,0.005,0.05,1000,85.0926840065752,1249.3506963990123,8,-0.9280571858855186,0.02218413844188207,True
CTXC-USD,0.005,0.07,1000,143.68750248321598,184.15446854952026,8,-0.929951341054358,-0.029321004579607474,True
RENDER-USD,0.005,0.03,1000,397.0340260328845,384.7861448117415,2,-0.7668884094983844,-0.02047410291724714,True
XVG-USD,0.02,0.07,1000,743.4037074349818,464.1809395455595,7,-0.7908009369831684,0.02045971881976618,True
IRIS-USD,0.025,0.09,1000,52.80192313663859,39.40992060027172,3,-0.9536011274829411,-0.05014851080333526,True
BTT-USD,0.02,0.01,1000,296.23200323143465,296.23200323143465,1,-0.7037679967685654,-0.07374136605161566,True
XLM-USD,0.025,0.07,1000,1308.4744043488902,1775.5988886623468,5,-0.58098160949963,0.03783299430186056,True
FIS-USD,0.005,0.01,1000,254.37286773332096,232.3262894656341,10,-0.772110213352126,-0.06552555567643857,True
LAYER-USD,0.025,0.01,1000,209.23054872755264,211.27965062289542,2,-0.8055318885052273,-0.06292645243637168,True
KEY-USD,0.015,0.01,1000,60.78990573207511,42.42004874060653,4,-0.9563066309417022,-0.06716253735764949,True
SNT-USD,0.02,0.01,1000,450.8968895607491,484.5664750220459,2,-0.7635104235795672,-0.01564716857288872,True
ACT-USD,0.025,0.03,1000,1352.574214767974,722.4964852797282,8,-0.75475614203639,0.06958387745718789,True
TRB-USD,0.02,0.07,1000,324.36715973885106,258.59167883688,3,-0.8343533116132961,-0.01720156183637594,True
JUP-USD,0.025,0.01,1000,11.3592118234772,382.883972490663,9,-0.9936514709496268,0.07027464679245947,True
MTL-USD,0.01,0.01,1000,467.161470520748,341.1649111356356,6,-0.6849026470723163,-0.024241984982867077,True
QKC-USD,0.025,0.01,1000,496.00149128283005,507.00850035114325,1,-0.6033881407615607,-0.006276212226125105,True
GNO-USD,0.025,0.07,1000,287.81052415977194,270.21485426585406,3,-0.7504718959977417,-0.06635385297975682,True
ATM-USD,0.025,0.01,1000,340.7584729916898,322.5018393625779,2,-0.7111757293004232,-0.066182228639909,True
UTK-USD,0.005,0.09,1000,367.69220602686255,224.48614670240067,3,-0.7827511724484574,-0.017280476731316285,True
VGX-USD,0.015,0.01,1000,82.21003706889604,56.18376453937171,5,-0.9463292432965573,-0.04250474048222656,True
POLS-USD,0.01,0.07,1000,763.2867740049885,254.5693644686335,13,-0.6887837669038573,0.011430135068936193,True
ELF-USD,0.015,0.05,1000,459.8800568479452,362.4718401271007,4,-0.7074099078527395,-0.013466613956411893,True
SNX-USD,0.02,0.09,1000,175.95382048324686,158.91768549663172,2,-0.8487549631316189,-0.06833702180545803,True
KLAY-USD,0.005,0.07,1000,865.7846497025336,411.42508424695876,10,-0.7629340166323899,0.015037919823997178,True
GAL-USD,0.015,0.05,1000,1807.4533828443577,639.9887459063652,12,-0.30331507219812304,0.06383976924365709,True
FIO-USD,0.005,0.01,1000,619.1605017369717,377.74161083721634,10,-0.665841515722238,0.004165717450648919,True
THETA-USD,0.015,0.03,1000,471.57859844903066,238.82123217268656,8,-0.704808792117921,-0.017199399882912744,True
ASR-USD,0.005,0.03,1000,256.5937178743596,242.13777097769113,1,-0.7507971888624652,-0.08954239480946811,True
WAXP-USD,0.025,0.09,1000,465.8131568233286,231.49147689315805,14,-0.685958574832482,-0.04193321557908452,True
LRC-USD,0.01,0.01,1000,334.22775313420817,255.08606489227694,8,-0.7579674823049306,-0.044347549117036825,True
FIRO-USD,0.025,0.01,1000,245.5227730644148,196.69403104836618,6,-0.8919467009681241,-0.01701902910631624,True
GAS-USD,0.015,0.01,1000,465.68500775444653,481.36421494544317,2,-0.736920755245797,-0.014528300592596629,True
NTRN-USD,0.025,0.01,1000,3650.1987029315865,1817.4603119607275,13,-0.63503651938834,0.08218190054102038,True
