index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,in_trade,no_trade_capital
1404,2024-04-26,0.04856700077652931,0.0513870008289814,0.04823699966073036,0.05118599906563759,3071370,0,0.05118599906563759,0.05579273898154498,False,,,,False,1000.0,False,1000.0
1405,2024-04-27,0.04897100105881691,0.04950200021266937,0.04742300137877464,0.048565998673439026,2214716,0,0.048565998673439026,0.05293693855404854,False,,,,False,1000.0,False,948.8141202667775
1406,2024-04-28,0.04791399836540222,0.050060998648405075,0.04772400110960007,0.048976998776197433,1996988,0,0.048565998673439026,0.05293693855404854,False,,,,False,1000.0,False,956.8436617480597
1407,2024-04-29,0.048562001436948776,0.04878799989819527,0.0469140000641346,0.047912001609802246,2501018,0,0.047912001609802246,0.05222408175468445,False,,,,False,1000.0,False,936.0372462079526
1408,2024-04-30,0.045830998569726944,0.04907200112938881,0.04406199976801872,0.0486299991607666,2150093,0,0.047912001609802246,0.05222408175468445,False,,,,False,1000.0,False,950.0644717006825
1409,2024-05-01,0.046261001378297806,0.046431999653577805,0.04394499957561493,0.045869000256061554,2499563,0,0.045869000256061554,0.0499972102791071,False,,,,False,1000.0,False,896.1239615005295
1410,2024-05-02,0.04877199977636337,0.04937500134110451,0.0446459986269474,0.04622200131416321,3927463,0,0.045869000256061554,0.0499972102791071,False,,,,False,1000.0,False,903.0203992871396
1411,2024-05-03,0.04716600105166435,0.049970999360084534,0.045722998678684235,0.048767998814582825,8512602,0,0.045869000256061554,0.0499972102791071,False,,,,False,1000.0,False,952.7605146877356
1412,2024-05-04,0.04603499919176102,0.04759899899363518,0.04578299820423126,0.047162000089883804,5360644,0,0.045869000256061554,0.0499972102791071,False,,,,False,1000.0,False,921.3847722187924
1413,2024-05-05,0.045712001621723175,0.04664300009608269,0.04483199864625931,0.046025000512599945,2824774,0,0.045869000256061554,0.0499972102791071,False,,,,False,1000.0,False,899.1716749258031
1414,2024-05-06,0.04470900073647499,0.04654800146818161,0.044339001178741455,0.04571299999952316,2485655,0,0.04571299999952316,0.04982716999948025,False,,,,False,1000.0,False,893.0762480752558
1415,2024-05-07,0.04363799840211868,0.04562000185251236,0.043637000024318695,0.04473700001835823,1830935,0,0.04473700001835823,0.04876333002001047,False,,,,False,1000.0,False,874.008534267162
1416,2024-05-08,0.043237000703811646,0.04413300007581711,0.04248100146651268,0.04363799840211868,1987444,0,0.04363799840211868,0.047565418258309365,False,,,,False,1000.0,False,852.5377876508801
1417,2024-05-09,0.04398500174283981,0.0442500002682209,0.04192499816417694,0.043237000703811646,1976389,0,0.043237000703811646,0.0471283307671547,False,,,,False,1000.0,False,844.7036590683193
1418,2024-05-10,0.04314899817109108,0.045187000185251236,0.042142998427152634,0.044009000062942505,2358337,0,0.043237000703811646,0.0471283307671547,False,,,,False,1000.0,False,859.7858958757107
1419,2024-05-11,0.043664999306201935,0.04513299837708473,0.04310299828648567,0.0431240014731884,2658408,0,0.0431240014731884,0.04700516160577536,False,,,,False,1000.0,False,842.4960391588527
1420,2024-05-12,0.04446699842810631,0.04587100073695183,0.04364199936389923,0.04366999864578247,2625226,0,0.0431240014731884,0.04700516160577536,False,,,,False,1000.0,False,853.1629633678325
1421,2024-05-13,0.043988000601530075,0.044867001473903656,0.04259999841451645,0.04446300119161606,2258388,0,0.0431240014731884,0.04700516160577536,False,,,,False,1000.0,False,868.6555308727999
1422,2024-05-14,0.042201001197099686,0.04413999989628792,0.04193099960684776,0.04397499933838844,2835920,0,0.0431240014731884,0.04700516160577536,False,,,,False,1000.0,False,859.121637579014
1423,2024-05-15,0.04429100081324577,0.045159999281167984,0.04205700010061264,0.042187001556158066,5300366,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,824.1902537070773
1424,2024-05-16,0.042419999837875366,0.044381000101566315,0.04172400012612343,0.04429800063371658,3539040,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,865.4319822284159
1425,2024-05-17,0.04390700161457062,0.04440300166606903,0.04225900024175644,0.042403001338243484,1913501,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,828.4101534067673
1426,2024-05-18,0.04408600181341171,0.04432100057601929,0.04315999895334244,0.04390300065279007,1768354,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,857.71502860561
1427,2024-05-19,0.04258599877357483,0.04426699876785278,0.042486999183893204,0.044077999889850616,1504366,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,861.1339173692373
1428,2024-05-20,0.046209998428821564,0.04622900113463402,0.04189800098538399,0.04259699955582619,2375882,0,0.042187001556158066,0.04598383169621229,False,,,,False,1000.0,False,832.2002175087483
