index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,no_trade_capital
1001,2024-06-04,209.3000030517578,215.5,208.3000030517578,212.0,9793367,0,212.0,218.36,False,,,,False,1000.0,1000.0000000000001
1002,2024-06-05,210.0,210.89999389648438,202.3000030517578,209.39999389648438,8554552,0,209.39999389648438,215.68199371337892,False,,,,False,1000.0,987.7358202664358
1003,2024-06-06,205.3000030517578,212.39999389648438,204.5,212.3000030517578,5480105,0,209.39999389648438,215.68199371337892,False,,,,False,1000.0,1001.4151087347067
1004,2024-06-07,205.6999969482422,206.8000030517578,202.89999389648438,206.0,5137212,0,206.0,212.18,False,,,,False,1000.0,971.6981132075472
1005,2024-06-10,198.39999389648438,204.6999969482422,198.10000610351562,204.6999969482422,5709521,0,204.6999969482422,210.84099685668946,False,,,,False,1000.0,965.5660233407651
1006,2024-06-11,210.0,214.5,200.6999969482422,200.6999969482422,17745594,0,200.6999969482422,206.72099685668945,False,,,,False,1000.0,946.6980988124632
1007,2024-06-12,226.0,229.0,208.0,209.60000610351562,22744238,1,200.6999969482422,206.72099685668945,True,209.60000610351562,,,False,1000.0,988.679274073187
1008,2024-06-13,228.8000030517578,230.89999389648438,224.3000030517578,229.89999389648438,13625501,1,,,False,,229.89999389648438,225.3019940185547,False,1096.8510839782282,1084.433933473983
1009,2024-06-14,230.3000030517578,237.89999389648438,229.89999389648438,232.5,13552384,1,,,False,,232.5,227.85,False,1109.2556928895062,1096.6981132075473
1010,2024-06-20,233.1999969482422,236.6999969482422,230.10000610351562,234.89999389648438,7064080,1,,,False,,234.89999389648438,230.20199401855467,False,1120.706045115637,1108.0188391343604
1011,2024-06-21,238.0,239.89999389648438,230.60000610351562,233.1999969482422,10660824,1,,,False,,234.89999389648438,230.20199401855467,False,1112.595372888831,1099.999985604916
1012,2024-06-24,236.89999389648438,239.0,232.60000610351562,238.1999969482422,6510431,1,,,False,,238.1999969482422,233.43599700927734,False,1136.4503340262395,1123.5848912652934
1013,2024-06-25,235.39999389648438,238.5,231.39999389648438,237.0,7130631,1,,,False,,238.1999969482422,233.43599700927734,False,1130.7251579131744,1117.9245283018868
1014,2024-06-26,226.5,236.5,226.5,235.5,8160944,1,,,False,,238.1999969482422,233.43599700927734,False,1123.5686695719517,1110.8490566037738
1015,2024-06-27,227.6999969482422,230.39999389648438,225.1999969482422,227.10000610351562,6846744,1,,,False,,238.1999969482422,233.43599700927734,True,1083.4923639809306,1071.2264438845077
1016,2024-06-28,227.89999389648438,229.6999969482422,223.39999389648438,228.8000030517578,8109373,1,228.8000030517578,235.66400314331057,False,,,,False,1083.4923639809306,1079.245297413952
1017,2024-07-01,219.1999969482422,230.10000610351562,217.10000610351562,230.10000610351562,7162998,1,228.8000030517578,235.66400314331057,False,,,,False,1083.4923639809306,1085.3773872807342
1018,2024-07-02,219.60000610351562,220.3000030517578,215.89999389648438,218.89999389648438,5440810,1,218.89999389648438,225.4669937133789,False,,,,False,1083.4923639809306,1032.5471410211528
1019,2024-07-03,224.3000030517578,226.60000610351562,218.3000030517578,220.0,7255767,1,218.89999389648438,225.4669937133789,False,,,,False,1083.4923639809306,1037.735849056604
1020,2024-07-04,229.8000030517578,230.0,223.39999389648438,224.89999389648438,8101925,1,218.89999389648438,225.4669937133789,False,,,,False,1083.4923639809306,1060.8490278136055
1021,2024-07-05,232.5,233.60000610351562,228.8000030517578,231.0,7918697,2,218.89999389648438,225.4669937133789,True,231.0,,,False,1083.4923639809306,1089.622641509434
1022,2024-07-08,232.3000030517578,235.0,228.60000610351562,232.6999969482422,7509416,2,,,False,,232.6999969482422,228.04599700927733,False,1091.4661029948322,1097.6414950388782
1023,2024-07-09,238.89999389648438,242.1999969482422,234.10000610351562,234.39999389648438,11717620,2,,,False,,234.39999389648438,229.7119940185547,False,1099.4398420087339,1105.6603485683227
1024,2024-07-10,245.60000610351562,248.1999969482422,239.39999389648438,241.1999969482422,12081753,2,,,False,,241.1999969482422,236.37599700927734,False,1131.3348696348232,1137.73583466152
1025,2024-07-11,252.0,252.0,243.39999389648438,247.10000610351562,9641347,2,,,False,,247.10000610351562,242.1580059814453,False,1159.0085270684003,1165.5660665260173
1026,2024-07-12,251.75,254.5,248.8000030517578,251.75,5362305,2,,,False,,251.75,246.715,False,1180.8190590138497,1187.5
1027,2024-07-16,257.0,258.5,249.6999969482422,251.75,7578039,2,,,False,,251.75,246.715,False,1180.8190590138497,1187.5
1028,2024-07-17,255.25,260.0,253.5,257.25,7557813,2,,,False,,257.25,252.105,False,1206.6164962514908,1213.4433962264152
1029,2024-07-18,248.10000610351562,259.0,248.10000610351562,256.75,9270964,2,,,False,,257.25,252.105,False,1204.2712746844327,1211.0849056603774
1030,2024-07-19,247.60000610351562,249.6999969482422,243.5,248.0,6126067,2,,,False,,257.25,252.105,True,1163.2298972609126,1169.8113207547171
1031,2024-07-22,241.89999389648438,247.60000610351562,240.6999969482422,247.60000610351562,6110824,2,247.60000610351562,255.0280062866211,False,,,,False,1163.2298972609126,1167.924557092055
1032,2024-07-23,236.0,242.60000610351562,233.1999969482422,241.5,8757238,2,241.5,248.745,False,,,,False,1163.2298972609126,1139.1509433962265
1033,2024-07-24,234.5,240.5,232.5,235.6999969482422,8829669,2,235.6999969482422,242.77099685668946,False,,,,False,1163.2298972609126,1111.7924384351047
1034,2024-07-25,232.5,236.39999389648438,230.5,234.1999969482422,5165997,2,234.1999969482422,241.22599685668945,False,,,,False,1163.2298972609126,1104.7169667369915
1035,2024-07-26,234.6999969482422,236.1999969482422,231.5,235.89999389648438,4030382,2,234.1999969482422,241.22599685668945,False,,,,False,1163.2298972609126,1112.735820266436
1036,2024-07-29,229.0,233.5,227.1999969482422,231.10000610351562,4907608,2,231.10000610351562,238.0330062866211,False,,,,False,1163.2298972609126,1090.0943684128097
1037,2024-07-30,226.10000610351562,232.8000030517578,226.10000610351562,229.10000610351562,5270956,2,229.10000610351562,235.9730062866211,False,,,,False,1163.2298972609126,1080.6604061486587
