index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,in_trade,no_trade_capital
1461,2024-04-11,0.4557900130748749,0.4604659974575043,0.443928986787796,0.4551349878311157,10912967,0,0.4551349878311157,0.4596863377094269,False,,,,False,1000.0,False,1000.0
1462,2024-04-12,0.3905799984931946,0.47363799810409546,0.37642601132392883,0.4557900130748749,45521885,0,0.4551349878311157,0.4596863377094269,False,,,,False,1000.0,False,1001.4391889467356
1463,2024-04-13,0.32322901487350464,0.3906170129776001,0.28192201256752014,0.3905799984931946,38603078,0,0.3905799984931946,0.39448579847812654,False,,,,False,1000.0,False,858.1629822713713
1464,2024-04-14,0.34527701139450073,0.349032998085022,0.31025999784469604,0.32322901487350464,22337340,0,0.32322901487350464,0.3264613050222397,False,,,,False,1000.0,False,710.1827447145051
1465,2024-04-15,0.3288460075855255,0.3645229935646057,0.3204520046710968,0.34527701139450073,17959915,1,0.32322901487350464,0.3264613050222397,True,0.34527701139450073,,,False,1000.0,False,758.6255080934816
1466,2024-04-16,0.3338859975337982,0.3404250144958496,0.3212299942970276,0.3288460075855255,17199579,1,,,False,,0.34527701139450073,0.3366450861096382,False,952.412111821132,True,722.5241222446922
1467,2024-04-17,0.3227730095386505,0.3387269973754883,0.31603899598121643,0.3338859975337982,11924101,1,,,False,,0.34527701139450073,0.3366450861096382,False,967.0090579888403,True,733.597737947783
1468,2024-04-18,0.3338080048561096,0.3369799852371216,0.3161410093307495,0.3227730095386505,12327133,1,,,False,,0.34527701139450073,0.3366450861096382,False,934.8233415107443,True,709.1808324312346
1469,2024-04-19,0.33941200375556946,0.3466759920120239,0.30921798944473267,0.3338080048561096,13447430,1,,,False,,0.34527701139450073,0.3366450861096382,False,966.7831736260974,True,733.4263763083268
1470,2024-04-20,0.36583998799324036,0.3677529990673065,0.3350299894809723,0.33941200375556946,10487346,1,,,False,,0.34527701139450073,0.3366450861096382,False,983.0136167616728,True,745.739204478635
1471,2024-04-21,0.3596630096435547,0.36667901277542114,0.3549090027809143,0.36583998799324036,9383629,1,,,False,,0.36583998799324036,0.3566939882934093,False,1059.5550121211086,True,803.8054594233711
1472,2024-04-22,0.37300801277160645,0.3759709894657135,0.358924001455307,0.3596569895744324,9709063,1,,,False,,0.36583998799324036,0.3566939882934093,False,1041.6476559555877,True,790.2204822536918
1473,2024-04-23,0.3720180094242096,0.37609899044036865,0.36506199836730957,0.37300801277160645,9740259,1,,,False,,0.37300801277160645,0.36368281245231626,False,1080.315226504962,True,819.5546876084516
1474,2024-04-24,0.36182400584220886,0.3887009918689728,0.35800600051879883,0.3720180094242096,18326115,1,,,False,,0.37300801277160645,0.36368281245231626,False,1077.4479538087623,True,817.3795014024546
1475,2024-04-25,0.3620530068874359,0.36861398816108704,0.3493820130825043,0.3617910146713257,11562265,1,,,False,,0.37300801277160645,0.36368281245231626,True,1047.8282733337164,True,794.9092562525063
1476,2024-04-26,0.35106998682022095,0.36235201358795166,0.3457149863243103,0.3620530068874359,9192248,1,0.3620530068874359,0.3656735369563103,False,,,,False,1047.8282733337164,False,795.4848925430906
1477,2024-04-27,0.3492420017719269,0.36398500204086304,0.33941298723220825,0.35106998682022095,18232997,1,0.35106998682022095,0.3545806866884232,False,,,,False,1047.8282733337164,False,771.3535461055137
1478,2024-04-28,0.3429419994354248,0.3556379973888397,0.34238401055336,0.3492420017719269,8343783,1,0.3492420017719269,0.35273442178964615,False,,,,False,1047.8282733337164,False,767.3371881080653
1479,2024-04-29,0.3453289866447449,0.34752899408340454,0.33226799964904785,0.3429419994354248,11546504,1,0.3429419994354248,0.34637141942977906,False,,,,False,1047.8282733337164,False,753.4951357391102
1480,2024-04-30,0.3255409896373749,0.34859499335289,0.3178040087223053,0.34532999992370605,11471721,1,0.3429419994354248,0.34637141942977906,False,,,,False,1047.8282733337164,False,758.741931859226
1481,2024-05-01,0.32680800557136536,0.3285270035266876,0.3077299892902374,0.3255409896373749,12548465,1,0.3255409896373749,0.3287963995337486,False,,,,False,1047.8282733337164,False,715.2625008872565
1482,2024-05-02,0.3361319899559021,0.3389430046081543,0.31637200713157654,0.32680800557136536,8840058,1,0.3255409896373749,0.3287963995337486,False,,,,False,1047.8282733337164,False,718.0463253961748
1483,2024-05-03,0.347214013338089,0.34934499859809875,0.33304598927497864,0.3361319899559021,8895967,2,0.3255409896373749,0.3287963995337486,True,0.3361319899559021,,,False,1047.8282733337164,False,738.5325209949111
1484,2024-05-04,0.3451809883117676,0.35024699568748474,0.3429639935493469,0.347214013338089,6967160,2,,,False,,0.347214013338089,0.3385336630046368,False,1082.3743973938635,True,762.881392601106
1485,2024-05-05,0.3464150130748749,0.35194098949432373,0.3389739990234375,0.3451809883117676,6816465,2,,,False,,0.347214013338089,0.3385336630046368,False,1076.0368241588556,True,758.4145309431844
1486,2024-05-06,0.3404250144958496,0.3540079891681671,0.3395650088787079,0.3464150130748749,8815693,2,,,False,,0.347214013338089,0.3385336630046368,False,1079.8836643151506,True,761.1258688892912
1487,2024-05-07,0.3363650143146515,0.34747999906539917,0.3353849947452545,0.3404250144958496,6693401,2,,,False,,0.347214013338089,0.3385336630046368,False,1061.2109700882343,True,747.9649413860689
1488,2024-05-08,0.33017000555992126,0.3412719964981079,0.3264180123806,0.3363650143146515,10408066,2,,,False,,0.347214013338089,0.3385336630046368,True,1048.554682954845,True,739.044510547417
1489,2024-05-09,0.33876898884773254,0.340023010969162,0.3234640061855316,0.33017000555992126,6839504,2,0.33017000555992126,0.3334717056155205,False,,,,False,1048.554682954845,False,725.4331448639047
1490,2024-05-10,0.3260279893875122,0.3437570035457611,0.3244509994983673,0.33876898884773254,7724687,3,0.33017000555992126,0.3334717056155205,True,0.33876898884773254,,,False,1048.554682954845,False,744.3264040457325
1491,2024-05-11,0.32422399520874023,0.33041200041770935,0.3232310116291046,0.3260279893875122,5267536,3,,,False,,0.33876898884773254,0.3302997641265392,False,1009.118857689434,True,716.3325125610636
1492,2024-05-12,0.3205380141735077,0.32806798815727234,0.3194110095500946,0.32422399520874023,5646091,3,,,False,,0.33876898884773254,0.3302997641265392,False,1003.5351513690633,True,712.3688661110979
1493,2024-05-13,0.32174399495124817,0.3280229866504669,0.3083850145339966,0.3205380141735077,7733593,3,,,False,,0.33876898884773254,0.3302997641265392,False,992.1263365040373,True,704.2702115717104
